pokemon_name,normalized_name,source_path,output_path
mareep,mareep,data/raw_images/_extracted/images/Mareep/2.jpg,data/images/mareep.jpg
azumarill,azumarill,data/raw_images/_extracted/images/Azumarill/2.jpg,data/images/azumarill.jpg
sandile,sandile,data/raw_images/_extracted/images/Sandile/1.jpg,data/images/sandile.jpg
onix,onix,data/raw_images/_extracted/images/Onix/2.jpg,data/images/onix.jpg
mankey,mankey,data/raw_images/_extracted/images/Mankey/2.jpg,data/images/mankey.jpg
skitty,skitty,data/raw_images/_extracted/images/Skitty/1.jpg,data/images/skitty.jpg
scolipede,scolipede,data/raw_images/_extracted/images/Scolipede/1.jpg,data/images/scolipede.jpg
ariados,ariados,data/raw_images/_extracted/images/Ariados/2.jpg,data/images/ariados.jpg
rattata,rattata,data/raw_images/_extracted/images/Rattata/4.jpg,data/images/rattata.jpg
amaura,amaura,data/raw_images/_extracted/images/Amaura/1.jpg,data/images/amaura.jpg
blissey,blissey,data/raw_images/_extracted/images/Blissey/2.jpg,data/images/blissey.jpg
panpour,panpour,data/raw_images/_extracted/images/Panpour/1.jpg,data/images/panpour.jpg
wobbuffet,wobbuffet,data/raw_images/_extracted/images/Wobbuffet/2.jpg,data/images/wobbuffet.jpg
castform,castform,data/raw_images/_extracted/images/Castform/4.jpg,data/images/castform.jpg
fletchling,fletchling,data/raw_images/_extracted/images/Fletchling/1.jpg,data/images/fletchling.jpg
voltorb,voltorb,data/raw_images/_extracted/images/Voltorb/2.jpg,data/images/voltorb.jpg
seismitoad,seismitoad,data/raw_images/_extracted/images/Seismitoad/1.jpg,data/images/seismitoad.jpg
gengar,gengar,data/raw_images/_extracted/images/Gengar/4.jpg,data/images/gengar.jpg
metagross,metagross,data/raw_images/_extracted/images/Metagross/4.jpg,data/images/metagross.jpg
pancham,pancham,data/raw_images/_extracted/images/Pancham/1.jpg,data/images/pancham.jpg
surskit,surskit,data/raw_images/_extracted/images/Surskit/1.jpg,data/images/surskit.jpg
miltank,miltank,data/raw_images/_extracted/images/Miltank/2.jpg,data/images/miltank.jpg
altaria,altaria,data/raw_images/_extracted/images/Altaria/2.jpg,data/images/altaria.jpg
gastly,gastly,data/raw_images/_extracted/images/Gastly/2.jpg,data/images/gastly.jpg
virizion,virizion,data/raw_images/_extracted/images/Virizion/1.jpg,data/images/virizion.jpg
camerupt,camerupt,data/raw_images/_extracted/images/Camerupt/2.jpg,data/images/camerupt.jpg
spinda,spinda,data/raw_images/_extracted/images/Spinda/1.jpg,data/images/spinda.jpg
piplup,piplup,data/raw_images/_extracted/images/Piplup/2.jpg,data/images/piplup.jpg
dewott,dewott,data/raw_images/_extracted/images/Dewott/1.jpg,data/images/dewott.jpg
grovyle,grovyle,data/raw_images/_extracted/images/Grovyle/1.jpg,data/images/grovyle.jpg
whiscash,whiscash,data/raw_images/_extracted/images/Whiscash/1.jpg,data/images/whiscash.jpg
emboar,emboar,data/raw_images/_extracted/images/Emboar/1.jpg,data/images/emboar.jpg
diggersby,diggersby,data/raw_images/_extracted/images/Diggersby/1.jpg,data/images/diggersby.jpg
goomy,goomy,data/raw_images/_extracted/images/Goomy/1.jpg,data/images/goomy.jpg
cloyster,cloyster,data/raw_images/_extracted/images/Cloyster/2.jpg,data/images/cloyster.jpg
weepinbell,weepinbell,data/raw_images/_extracted/images/Weepinbell/2.jpg,data/images/weepinbell.jpg
luxio,luxio,data/raw_images/_extracted/images/Luxio/1.jpg,data/images/luxio.jpg
jellicent,jellicent,data/raw_images/_extracted/images/Jellicent/2.jpg,data/images/jellicent.jpg
qwilfish,qwilfish,data/raw_images/_extracted/images/Qwilfish/2.jpg,data/images/qwilfish.jpg
cryogonal,cryogonal,data/raw_images/_extracted/images/Cryogonal/1.jpg,data/images/cryogonal.jpg
garbodor,garbodor,data/raw_images/_extracted/images/Garbodor/2.jpg,data/images/garbodor.jpg
weavile,weavile,data/raw_images/_extracted/images/Weavile/1.jpg,data/images/weavile.jpg
dragonair,dragonair,data/raw_images/_extracted/images/Dragonair/2.jpg,data/images/dragonair.jpg
taillow,taillow,data/raw_images/_extracted/images/Taillow/1.jpg,data/images/taillow.jpg
frogadier,frogadier,data/raw_images/_extracted/images/Frogadier/1.jpg,data/images/frogadier.jpg
squirtle,squirtle,data/raw_images/_extracted/images/Squirtle/2.jpg,data/images/squirtle.jpg
lopunny,lopunny,data/raw_images/_extracted/images/Lopunny/2.jpg,data/images/lopunny.jpg
porygonz,porygonz,data/raw_images/_extracted/images/Porygon-Z/1.jpg,data/images/porygonz.jpg
lotad,lotad,data/raw_images/_extracted/images/Lotad/1.jpg,data/images/lotad.jpg
cacnea,cacnea,data/raw_images/_extracted/images/Cacnea/1.jpg,data/images/cacnea.jpg
noivern,noivern,data/raw_images/_extracted/images/Noivern/1.jpg,data/images/noivern.jpg
floette,floette,data/raw_images/_extracted/images/Floette/4.jpg,data/images/floette.jpg
finneon,finneon,data/raw_images/_extracted/images/Finneon/1.jpg,data/images/finneon.jpg
pikachu,pikachu,data/raw_images/_extracted/images/Pikachu/4.jpg,data/images/pikachu.jpg
granbull,granbull,data/raw_images/_extracted/images/Granbull/2.jpg,data/images/granbull.jpg
gligar,gligar,data/raw_images/_extracted/images/Gligar/2.jpg,data/images/gligar.jpg
dedenne,dedenne,data/raw_images/_extracted/images/Dedenne/1.jpg,data/images/dedenne.jpg
ursaring,ursaring,data/raw_images/_extracted/images/Ursaring/2.jpg,data/images/ursaring.jpg
victreebel,victreebel,data/raw_images/_extracted/images/Victreebel/2.jpg,data/images/victreebel.jpg
braixen,braixen,data/raw_images/_extracted/images/Braixen/1.jpg,data/images/braixen.jpg
